a little	//
wonder	/'wʌndə/
wonderful	/´wʌndəful/
wood	/wud/
wooden	/´wudən/
wool	/wul/
work	/wɜ:k/
worker	/'wə:kə/
working	/´wə:kiη/
world	/wɜ:ld/
worried	/´wʌrid/
worry	/'wʌri/
worrying	/´wʌriiη/
worse, worst	/bad/
worship	/ˈwɜrʃɪp/
worth	/wɜrθ/
would	/wud/
wound	/waund/
wounded	/'wu:ndid/
wrap	/ræp/
wrapping	/'ræpiɳ/
wrist	/rist/
write	/rait/
writer	/'raitə/
writing	/´raitiη/
written	/'ritn/
wrong	/rɔɳ/
wrongly	/´rɔηgli/
yard	/ja:d/
yawn	/jɔ:n/
yeah	/jeə/
year	/jə:/
yellow	/'jelou/
yes	/jes/
yesterday	/'jestədei/
yet	/yet/
you	/ju:/
young	/jʌɳ/
your	/jo:/
yours	/jo:z/
Yours sincerely	//
Yours Truly	//
yourself	/jɔ:'self/
youth	/ju:θ/
zero number	/'ziərou/
zone	/zoun/
